"Date","Price","Open","High","Low","Vol.","Change %"
"06/29/2025","35,000.0","34,100.0","35,100.0","34,000.0","43.21M","3.09%"
"06/22/2025","33,950.0","33,600.0","34,750.0","33,400.0","79.63M","-0.15%"
"06/15/2025","34,000.0","31,000.0","34,850.0","30,950.0","99.26M","8.97%"
"06/08/2025","31,200.0","30,300.0","31,500.0","29,750.0","93.91M","2.97%"
"06/01/2025","30,300.0","30,400.0","31,900.0","30,200.0","97.64M","-0.49%"
"05/25/2025","30,450.0","30,150.0","31,250.0","29,500.0","87.06M","1.00%"
"05/18/2025","30,150.0","29,200.0","31,400.0","29,100.0","124.00M","2.38%"
"05/11/2025","29,450.0","27,650.0","30,500.0","27,600.0","117.45M","6.70%"
"05/04/2025","27,600.0","26,650.0","28,000.0","26,150.0","83.83M","4.94%"
"04/27/2025","26,300.0","26,000.0","26,600.0","25,800.0","29.30M","1.35%"
"04/20/2025","25,950.0","26,000.0","26,300.0","23,950.0","88.36M","-0.19%"
"04/13/2025","26,000.0","26,600.0","26,700.0","25,550.0","90.38M","-2.26%"
"04/06/2025","26,600.0","25,000.0","26,600.0","22,300.0","123.44M","3.50%"
"03/30/2025","25,700.0","27,400.0","28,150.0","24,150.0","144.40M","-6.72%"
"03/23/2025","27,550.0","27,350.0","28,500.0","27,200.0","73.18M","0.73%"
"03/16/2025","27,350.0","27,350.0","27,600.0","27,100.0","52.91M","0.18%"
"03/09/2025","27,300.0","27,750.0","28,300.0","27,100.0","69.74M","-1.62%"
"03/02/2025","27,750.0","26,150.0","27,900.0","26,000.0","90.32M","6.32%"
"02/23/2025","26,100.0","26,400.0","26,800.0","26,000.0","60.93M","-1.51%"
"02/16/2025","26,500.0","26,000.0","26,600.0","25,650.0","64.65M","1.92%"
"02/09/2025","26,000.0","25,750.0","26,250.0","25,450.0","71.54M","0.97%"
"02/02/2025","25,750.0","24,500.0","25,800.0","24,250.0","96.95M","4.04%"
"01/19/2025","24,750.0","24,400.0","24,850.0","24,150.0","52.17M","1.43%"
"01/12/2025","24,400.0","23,200.0","24,400.0","23,150.0","36.93M","4.27%"
"01/05/2025","23,400.0","23,600.0","24,300.0","23,400.0","38.64M","-0.85%"
"12/29/2024","23,600.0","24,750.0","24,750.0","23,600.0","44.81M","-4.07%"
"12/22/2024","24,600.0","24,000.0","24,900.0","23,800.0","47.63M","3.36%"
"12/15/2024","23,800.0","24,300.0","24,400.0","23,750.0","37.15M","-2.26%"
"12/08/2024","24,350.0","24,100.0","24,550.0","23,950.0","54.54M","0.83%"
"12/01/2024","24,150.0","23,700.0","24,250.0","23,350.0","61.02M","2.33%"
"11/24/2024","23,600.0","23,500.0","23,700.0","23,350.0","56.50M","0.43%"
"11/17/2024","23,500.0","22,400.0","23,550.0","22,200.0","75.72M","4.68%"
"11/10/2024","22,450.0","23,700.0","23,700.0","22,400.0","90.42M","-4.87%"
"11/03/2024","23,600.0","23,750.0","24,150.0","23,400.0","67.31M","-0.42%"
"10/27/2024","23,700.0","23,500.0","24,100.0","23,450.0","49.32M","0.85%"
"10/20/2024","23,500.0","24,450.0","24,500.0","23,400.0","89.26M","-3.89%"
"10/13/2024","24,450.0","24,550.0","24,800.0","24,100.0","68.50M","0.00%"
"10/06/2024","24,450.0","24,250.0","25,000.0","24,000.0","83.45M","1.66%"
"09/29/2024","24,050.0","24,150.0","25,200.0","23,950.0","145.53M","-0.62%"
"09/22/2024","24,200.0","23,550.0","24,400.0","23,300.0","123.70M","2.76%"
"09/15/2024","23,550.0","22,200.0","23,700.0","22,150.0","110.93M","6.08%"
"09/08/2024","22,200.0","22,700.0","22,850.0","21,950.0","82.08M","-2.63%"
"09/01/2024","22,800.0","23,050.0","23,250.0","22,650.0","41.19M","-2.36%"
"08/25/2024","23,350.0","22,500.0","23,350.0","22,400.0","92.17M","4.24%"
"08/18/2024","22,400.0","21,550.0","23,000.0","21,400.0","","5.11%"
"08/11/2024","21,310.0","21,100.0","21,600.0","20,900.0","","0.95%"
"08/04/2024","21,110.0","23,500.0","23,800.0","20,800.0","","-10.17%"
"07/28/2024","23,500.0","22,750.0","24,250.0","21,650.0","13.70M","3.30%"
"07/21/2024","22,750.0","23,300.0","23,800.0","22,550.0","52.40M","-2.78%"
"07/14/2024","23,400.0","22,850.0","24,200.0","22,550.0","69.74M","2.63%"
"07/07/2024","22,800.0","23,500.0","23,500.0","22,800.0","49.32M","-2.98%"
"06/30/2024","23,500.0","23,100.0","23,550.0","22,650.0","42.51M","0.64%"